H_wave,Hs,Max_residual_pressure_Pa,Wave_rank
1.232694393073072,0.7,13842.642635741167,45/1000
1.2283182822141785,0.7,13878.20120246468,46/1000
1.2240211443693765,0.7,13719.748433580937,47/1000
1.2197998160995025,0.7,13743.434848174078,48/1000
1.2156513236232829,0.7,13645.53264942563,49/1000
1.2115728678215996,0.7,13583.692134981711,50/1000
1.2075618107021797,0.7,13583.405378366666,51/1000
1.203615663156785,0.7,13554.029067458445,52/1000
1.1997320738651223,0.7,13484.646444110133,53/1000
1.195908819218569,0.7,13416.369269082661,54/1000
1.1921437941529267,0.7,13348.80984968527,55/1000
1.1884350037932336,0.7,13334.33327125734,56/1000
1.1847805558255577,0.7,13217.263934751942,57/1000
1.1811786535209232,0.7,13153.158136780117,58/1000
1.1776275893453942,0.7,13164.602068365542,59/1000
1.1741257390979967,0.7,13037.213071457385,60/1000
1.1706715565248538,0.7,12966.16108915735,61/1000
1.1672635683636972,0.7,13009.608403810516,62/1000
1.163900369778013,0.7,12888.018352810657,63/1000
1.1605806201445066,0.7,12830.60514988091,64/1000
1.157303039161474,0.7,12867.72006044404,65/1000
1.154066403249093,0.7,12750.662592282144,66/1000
1.1508695422156558,0.7,12741.06007790725,67/1000
1.1477113361664397,0.7,12737.837956000823,68/1000
1.144590712634254,0.7,12721.726053443548,69/1000
1.1415066439127985,0.7,12666.931792802716,70/1000
1.1384581445758128,0.7,12617.870264696254,71/1000
1.1354442691666462,0.7,12559.803654086789,72/1000
1.132464110044347,0.7,12507.362537714205,73/1000
1.1295167953736693,0.7,12494.557691518477,74/1000
1.126601487247578,0.7,12404.241821941921,75/1000
1.123717379931869,0.7,12353.644689022512,76/1000
1.1208636982224653,0.7,12303.66159386979,77/1000
1.1180396959067895,0.7,12305.890976915302,78/1000
1.1152446543213765,0.7,12205.980140107002,79/1000
1.1124778809985594,0.7,12157.136414322827,80/1000
1.1097387083956978,0.7,12215.309329866568,81/1000
1.107026492700948,0.7,12118.36669327395,82/1000
1.1043406127100974,0.7,12022.34122133063,83/1000
1.1016804687694264,0.7,11969.031200376696,84/1000
1.0990454817799815,0.7,12037.968724122085,85/1000
1.096435092259012,0.7,11945.027370638569,86/1000
1.0938487594546609,0.7,11852.538776329151,87/1000
1.0912859605103171,0.7,11875.137940345168,88/1000
1.0887461896753063,0.7,11872.762074231108,89/1000
1.0862289575588644,0.7,11783.35667227205,90/1000
1.0837337904245627,0.7,11728.884587174165,91/1000
1.0812602295225775,0.7,11761.222147363163,92/1000
1.0788078304573763,0.7,11719.204539515962,93/1000
1.0763761625885928,0.7,11691.247300274417,94/1000
1.0739648084630062,0.7,11678.220285458985,95/1000
1.0715733632757054,0.7,11649.828704652746,96/1000
1.0692014343586476,0.7,11609.207183318034,97/1000
1.066848640694952,0.7,11569.019557199319,98/1000
1.0645146124573854,0.7,11529.085347836839,99/1000
1.0621989905696023,0.7,11489.35908868949,100/1000
2.102608707902773,0.8,22463.650016637625,1/1000
1.9943292564143469,0.8,21760.508173627266,2/1000
1.9281731026546807,0.8,21309.84291201959,3/1000
1.8798231266350132,0.8,20919.277457527474,4/1000
1.841445930401092,0.8,20630.060304453567,5/1000
1.8094853738681096,0.8,20252.35835618386,6/1000
1.782015960409212,0.8,20079.160479397076,7/1000
1.7578739408369055,0.8,19857.358039098537,8/1000
1.7363005641459046,0.8,19651.547052500762,9/1000
1.7167728210314777,0.8,19458.178404852166,10/1000
1.6989144781176038,0.8,19352.069292613876,11/1000
1.6824455779264444,0.8,19128.855696236344,12/1000
1.6671519996008717,0.8,18992.239467222305,13/1000
1.6528662037789998,0.8,18848.61505100593,14/1000
1.6394545586392912,0.8,18788.02007883208,15/1000
1.6268087153427435,0.8,18624.874441607157,16/1000
1.6148395704690264,0.8,18526.626834548362,17/1000
1.603472935067824,0.8,18367.797221650915,18/1000
1.5926463612120696,0.8,18230.683614044337,19/1000
1.5823067728711817,0.8,18211.438664635396,20/1000
1.5724086677468987,0.8,18053.817212729668,21/1000
1.5629127321764467,0.8,17930.314503546033,22/1000
1.5537847599825119,0.8,17861.283013561853,23/1000
1.5449947984138597,0.8,17804.689585313325,24/1000
1.5365164661118733,0.8,17652.44044375313,25/1000
1.5283264030353,0.8,17630.21335128349,26/1000
1.5204038227740015,0.8,17512.06260462773,27/1000
1.512730145146991,0.8,17392.466807106277,28/1000
1.5052886923634365,0.8,17365.313854177537,29/1000
1.498064435958877,0.8,17142.979253833946,30/1000
1.4910437846280955,0.8,17108.240964811244,31/1000
1.4842144052517285,0.8,17125.7258461812,32/1000
1.4775650710577928,0.8,16996.66774611616,33/1000
1.471085532113692,0.8,16980.318173085947,34/1000
1.464766404310033,0.8,16887.651259797018,35/1000
1.4585990737473604,0.8,16769.125795121905,36/1000
1.4525756140236774,0.8,16727.790613530924,37/1000
1.4466887143831877,0.8,16566.489980043363,38/1000
1.4409316170539093,0.8,16550.591690772468,39/1000
1.4352980623952811,0.8,16453.448962455095,40/1000
1.4297822407128333,0.8,16392.805767462123,41/1000
1.4243787497878548,0.8,16374.808389679372,42/1000
1.4190825573252206,0.8,16371.84105186817,43/1000
1.4138889676494688,0.8,16282.158831007588,44/1000
1.4087935920835113,0.8,16193.782353752695,45/1000
1.40379232253049,0.8,16134.381886249717,46/1000
1.3988813078507163,0.8,16021.439215123724,47/1000
1.394056932685146,0.8,15977.459990061994,48/1000
1.3893157984266093,0.8,15914.820139161928,49/1000
1.3846547060818282,0.8,15797.690932463409,50/1000
1.3800706408024914,0.8,15826.8866914197,51/1000
1.3755607578934688,0.8,15705.24164068809,52/1000
1.3711223701315685,0.8,15749.295920114815,53/1000
1.3667529362497934,0.8,15724.193207066637,54/1000
1.362450050460488,0.8,15652.281085086463,55/1000
1.3582114329065529,0.8,15577.658379022365,56/1000
1.3540349209434948,0.8,15503.796364239966,57/1000
1.3499184611667698,0.8,15463.628221307097,58/1000
1.3458601021090222,0.8,15359.440796776045,59/1000
1.3418579875405678,0.8,15395.44773333256,60/1000
1.337910350314119,0.8,15266.324220748551,61/1000
1.3340155067013686,0.8,15150.286938296364,62/1000
1.3301718511748724,0.8,15230.182412960477,63/1000
1.326377851593722,0.8,15086.20829039479,64/1000
1.3226320447559705,0.8,15052.617773109023,65/1000
1.318933032284678,0.8,15060.220456221603,66/1000
1.3152794768178926,0.8,15049.24183051149,67/1000
1.3116700984759315,0.8,15009.698706806206,68/1000
1.308103671582005,0.8,14946.142865256195,69/1000
1.3045790216146271,0.8,14883.382795414782,70/1000
1.3010950223723576,0.8,14852.304192399011,71/1000
1.2976505933333102,0.8,14762.391816318055,72/1000
1.2942446971935397,0.8,14698.903846948357,73/1000
1.290876337569908,0.8,14717.111724420029,74/1000
1.287544556854375,0.8,14632.595858980616,75/1000
1.2842484342078506,0.8,14520.970217078331,76/1000
1.2809870836828177,0.8,14560.97256542044,77/1000
1.2777596524649026,0.8,14512.968705573525,78/1000
1.2745653192244304,0.8,14393.4683097998,79/1000
1.2714032925697825,0.8,14385.200500484545,80/1000
1.2682728095950833,0.8,14403.766170955509,81/1000
1.2651731345153696,0.8,14339.489874385294,82/1000
1.2621035573829689,0.8,14342.536021998316,83/1000
1.2590633928793444,0.8,14314.600314138383,84/1000
1.2560519791771219,0.8,14260.67213254346,85/1000
1.2530686768674426,0.8,14207.2702622032,86/1000
1.250112867948184,0.8,14168.592216327701,87/1000
1.247183954868934,0.8,14102.261768254724,88/1000
1.244281359628922,0.8,14049.840057474405,89/1000
1.2414045229244166,0.8,13998.359819967021,90/1000
1.2385529033423577,0.8,14020.66091558682,91/1000
1.2357259765972317,0.8,13916.3637308037,92/1000
1.2329232348084302,0.8,13846.755995711543,93/1000
1.2301441858155346,0.8,13869.29764784144,94/1000
1.2273883525291502,0.8,13843.910280059292,95/1000
1.224655272315092,0.8,13743.130802557213,96/1000
1.2219444964098831,0.8,13650.195351536382,97/1000
1.2192555893656596,0.8,13777.623747463407,98/1000
1.2165881285227265,0.8,13679.890133806266,99/1000
1.213941703508117,0.8,13583.75503254467,100/1000
